date,effective_number_of_stocks
2015-03-31,10.091550785340702
2015-04-30,11.247302694446132
2015-05-29,10.916922726206682
2015-06-30,10.54258336210872
2015-07-31,10.000003814525797
2015-08-31,10.509191289997762
2015-09-30,10.07273295235291
2015-10-30,11.405069663662355
2015-11-30,10.589391499284035
2015-12-31,10.55070972182056
2016-01-29,10.024873774346736
2016-02-29,10.559737215098144
2016-03-31,10.478310035809939
2016-04-29,10.384494549393725
2016-05-31,10.69053698310855
2016-06-30,10.461391235251863
2016-07-29,10.515999745009122
2016-08-31,10.172019307766996
2016-09-30,10.48762555651992
2016-10-31,10.383045303146684
2016-11-30,10.235198842417486
2016-12-30,10.655422707754996
2017-01-31,10.316132433078351
2017-02-28,10.00000016548382
2017-03-31,10.28154019111589
2017-04-28,10.098945737225554
2017-05-31,10.266336356498453
2017-06-30,10.495348615727181
2017-07-31,10.734713199423915
2017-08-31,10.408010882105804
2017-09-29,10.776802525394436
2017-10-31,11.112682028742205
2017-11-30,10.51117049847697
2017-12-29,10.621713493568508
2018-01-31,10.587039319668563
2018-02-28,10.594698979730873
2018-03-29,10.943265075652851
2018-04-30,11.204545109678824
2018-05-31,10.376334602283748
2018-06-29,10.97321551257159
2018-07-31,10.698849239395376
2018-08-31,10.46628996568017
2018-09-28,11.013054223815404
2018-10-31,10.578526516516932
2018-11-30,10.000001208212415
2018-12-31,10.564084362387765
2019-01-31,10.33071758199434
2019-02-28,10.659180557759647
2019-03-29,10.97414083238976
2019-04-30,10.13673926499263
2019-05-31,10.563810671917482
2019-06-28,11.226788581828085
2019-07-31,10.000000484448483
2019-08-30,10.734136700034126
2019-09-30,10.00002053457247
2019-10-31,10.659234647162878
2019-11-29,10.139414839048435
2019-12-31,10.2539420162744
2020-01-31,10.504501307370875
2020-02-28,10.087639175005075
2020-03-31,10.00000000184441
2020-04-30,10.00000175166587
2020-05-29,10.69148462864632
2020-06-30,10.67416439186022
2020-07-31,10.339133424304446
2020-08-31,11.198821962187537
2020-09-30,11.747173813100211
2020-10-30,10.585824702932767
2020-11-30,10.000013452840742
2020-12-31,10.643478068412795
2021-01-29,10.444599826291876
2021-02-26,10.764814241693047
2021-03-31,10.476699740929527
2021-04-30,10.626675529537788
2021-05-28,10.537220314681075
2021-06-30,10.70319936751904
2021-07-30,10.85339808745752
2021-08-31,10.621345233941202
2021-09-30,10.463295470098656
2021-10-29,10.494134098899067
2021-11-30,10.602277568980238
2021-12-31,10.578644902194567
2022-01-31,11.288474181032035
2022-02-28,10.690968490786927
2022-03-31,10.469680598881489
2022-04-29,10.470066770216004
2022-05-31,10.206748357870115
2022-06-30,10.374725161787183
2022-07-29,10.402164046788894
2022-08-31,10.422433321261108
2022-09-30,10.326529854700818
2022-10-31,10.00000016692441
2022-11-30,10.26154983367626
2022-12-30,10.000011300686513
2023-01-31,10.5075338435999
2023-02-28,10.59993535781097
2023-03-31,10.007992420174466
2023-04-28,10.18447614500995
2023-05-31,10.688908621659703
2023-06-30,10.4768170249575
2023-07-31,10.792585287645505
2023-08-31,10.644762802002472
2023-09-29,10.680700161987255
2023-10-31,10.709195625220568
2023-11-30,10.222325916074809
2023-12-29,10.372367542453567
2024-01-31,10.486596858832918
2024-02-29,10.12636301249836
2024-03-28,11.20398947967697
2024-04-30,10.511675497631227
2024-05-31,10.000073067417658
2024-06-28,10.898106373493862
2024-07-31,10.518486807017505
2024-08-30,10.716023957637299
2024-09-30,10.400669159210043
2024-10-31,10.993946598214604
2024-11-29,11.268543020728771
2024-12-31,11.189636608072895
2025-01-31,11.34861884645066
2025-02-28,10.927687282500887
2025-03-31,10.996456945135884
2025-04-30,10.278850767900995
2025-05-30,10.678651654940214
2025-06-30,10.000568761299332
2025-07-31,10.256867637512485
2025-08-29,10.437851471357165
2025-09-30,10.739497221241662
2025-10-31,10.840389739129694
2025-11-28,10.994488078226919
2025-12-31,11.61641536413131
2026-01-30,10.000001982287952
2026-02-27,10.475750431710523
2026-03-31,10.678678453121446
2026-04-30,11.223078449523408
2026-05-29,10.51162468412098
2026-06-30,10.79621643082101
2026-07-31,11.195414971867628
2026-08-31,10.743113671783666
2026-09-01,11.219023848770943
